,#START#,O,I-neutral,B-neutral,B-positive,I-positive,B-negative,I-negative,#STOP#
Club,0,2.24901043540842e-05,0.0030730548959351867,0.006400388884387912,0.0005293806246691371,0.006838905775075988,0.001763668430335097,0.008547008547008548,0
u,0,0.0015180820439006837,6.98421567257997e-05,0.0,0.0,0.0,0.0,0.0,0
our,0,0.0014843468873695575,0.00020952647017739908,0.0,0.0,0.0,0.0,0.0,0
Station,0,0.00010120546959337892,0.008660427433999161,0.0,0.0,0.0,0.0,0.004273504273504274,0
time,0,0.0014955919395465995,0.0,0.0,0.0,0.0,0.0,0.0,0
one,0,0.001450611730838431,6.98421567257997e-05,8.101758081503687e-05,0.0,0.0,0.0,0.004273504273504274,0
Central,0,0.00010120546959337892,0.007962005866741164,0.0005671230657052581,0.0,0.0,0.0,0.004273504273504274,0
@smrt_singapore,0,0.0009220942785174523,0.0001396843134515994,0.0038078262983067324,0.0,0.0,0.0,0.0,0
out,0,0.001450611730838431,0.0,0.0,0.0,0.0,0.0,0.0,0
❤,0,0.001450611730838431,0.0,0.0,0.0,0.0,0.0,0.0,0
Shopping,0,2.24901043540842e-05,0.008590585277273362,0.0,0.0,0.0007598784194528875,0.0,0.0,0
day,0,0.0013831414177761785,6.98421567257997e-05,0.0,0.0,0.0,0.0,0.0,0
work,0,0.0013606513134220943,0.0,8.101758081503687e-05,0.0005293806246691371,0.0,0.0,0.0,0
more,0,0.0013606513134220943,0.0,0.0,0.0,0.0,0.0,0.0,0
when,0,0.0012706908960057575,0.0,0.0,0.0,0.0,0.0,0.0,0
back,0,0.001203220582943505,6.98421567257997e-05,0.0,0.0,0.0,0.0,0.0,0
Stop,0,0.00047229219143576825,0.00460958234390278,0.0,0.0,0.0,0.0,0.0,0
what,0,0.0011582403742353363,0.0,0.0,0.0,0.0,0.0,0.0,0
West,0,0.00011245052177042101,0.005517530381338176,0.0010532285505954792,0.0,0.0007598784194528875,0.0,0.0,0
School,0,1.12450521770421e-05,0.005936583321692974,0.0004861054848902212,0.0005293806246691371,0.003799392097264438,0.0,0.017094017094017096,0
others,0,0.0011357502698812522,0.0,0.0,0.0,0.0,0.0,0.0,0
East,0,5.622526088521051e-05,0.0051683195977091775,0.001215263712225553,0.0015881418740074113,0.0,0.003527336860670194,0.004273504273504274,0
With,0,0.001102015113350126,6.98421567257997e-05,0.0,0.0,0.0007598784194528875,0.0,0.0,0
Airport,0,1.12450521770421e-05,0.006565162732225171,0.0,0.0,0.003799392097264438,0.0,0.0,0
Changi,0,2.24901043540842e-05,0.0014666852912417936,0.0055091954954225066,0.0026469031233456856,0.0007598784194528875,0.001763668430335097,0.0,0
McDonald's,0,1.12450521770421e-05,0.0,0.007453617434983391,0.0021175224986765486,0.0,0.0,0.0,0
love,0,0.0010345448002878734,0.0001396843134515994,0.0,0.0,0.0,0.0,0.0,0
This,0,0.0010345448002878734,0.0,0.00016203516163007373,0.0,0.0,0.0,0.0,0
3,0,0.0007646635480388629,0.0014666852912417936,0.0,0.0,0.0022796352583586625,0.0,0.008547008547008548,0
as,0,0.0010457898524649154,0.0,0.0,0.0,0.0,0.0,0.0,0
#job,0,0.000989564591579705,0.0,0.0002430527424451106,0.0005293806246691371,0.0,0.0,0.0,0
get,0,0.0010120546959337892,0.0,0.0,0.0,0.0,0.0,0.0,0
Park,0,1.12450521770421e-05,0.0051683195977091775,0.00032407032326014747,0.0015881418740074113,0.004559270516717325,0.0,0.008547008547008548,0
#Hiring,0,0.0010120546959337892,0.0,0.0,0.0,0.0,0.0,0.0,0
too,0,0.001000809643756747,0.0,0.0,0.0,0.0,0.0,0.0,0
good,0,0.000989564591579705,0.0,0.0,0.0,0.0,0.0,0.0,0
My,0,0.0009220942785174523,0.00020952647017739908,0.0002430527424451106,0.0,0.0,0.0,0.0,0
Interchange,0,6.747031306225261e-05,0.0055873725380639755,0.0,0.0,0.0007598784194528875,0.0,0.0,0
here,0,0.0009670744872256207,0.0,0.0,0.0,0.0,0.0,0.0,0
Food,0,0.00011245052177042101,0.004260371560273781,0.0010532285505954792,0.0,0.0,0.001763668430335097,0.004273504273504274,0
new,0,0.0009108492263404102,0.0001396843134515994,0.00016203516163007373,0.0005293806246691371,0.0,0.0,0.0,0
see,0,0.0009445843828715365,0.0001396843134515994,0.0,0.0,0.0,0.0,0.0,0
if,0,0.0009333393306944944,6.98421567257997e-05,0.0,0.0,0.0,0.0,0.0,0
no,0,0.0009220942785174523,6.98421567257997e-05,8.101758081503687e-05,0.0,0.0,0.0,0.0,0
know,0,0.0009333393306944944,0.0,0.0,0.0,0.0,0.0,0.0,0
International,0,2.24901043540842e-05,0.005098477440983378,0.0004861054848902212,0.0,0.0007598784194528875,0.0,0.004273504273504274,0
do,0,0.0009333393306944944,0.0,0.0,0.0,0.0,0.0,0.0,0
how,0,0.0009108492263404102,6.98421567257997e-05,0.0,0.0,0.0,0.0,0.0,0
Cafe,0,4.49802087081684e-05,0.004330213716999581,0.0009722109697804424,0.0005293806246691371,0.0022796352583586625,0.0,0.0,0
Pasir,0,0.0,0.0010476323508869954,0.005266142752977396,0.0005293806246691371,0.0,0.0,0.0,0
Square,0,1.12450521770421e-05,0.0054476882246123765,0.0,0.0,0.001519756838905775,0.0,0.0,0
Jurong,0,2.24901043540842e-05,0.0011873166643385949,0.004942072429717248,0.0,0.0,0.0,0.0,0
great,0,0.000888359121986326,0.0,0.0,0.0,0.0,0.0,0.0,0
Secondary,0,1.12450521770421e-05,0.005098477440983378,0.0,0.0,0.001519756838905775,0.001763668430335097,0.008547008547008548,0
don't,0,0.0008771140698092839,0.0,0.0,0.0,0.0,0.0,0.0,0
A,0,0.0006859481827995682,0.0006984215672579969,0.0002430527424451106,0.0005293806246691371,0.0022796352583586625,0.0,0.0,0
today,0,0.0008771140698092839,0.0,0.0,0.0,0.0,0.0,0.0,0
he,0,0.0008433789132781576,0.0,0.0002430527424451106,0.0,0.0,0.0,0.0,0
Point,0,0.0,0.005238161754434977,0.0,0.0,0.0022796352583586625,0.0,0.0,0
it's,0,0.0008658690176322418,0.0,0.0,0.0,0.0,0.0,0.0,0
really,0,0.0008658690176322418,0.0,0.0,0.0,0.0,0.0,0.0,0
got,0,0.0007421734436847787,0.0001396843134515994,0.0004861054848902212,0.0010587612493382743,0.0,0.001763668430335097,0.0,0
they,0,0.0008433789132781576,0.0,0.0,0.0,0.0,0.001763668430335097,0.0,0
want,0,0.0008546239654551997,0.0,0.0,0.0,0.0,0.0,0.0,0
trending,0,0.0008433789132781576,0.0,0.0,0.0,0.0,0.0,0.0,0
much,0,0.0008433789132781576,0.0,0.0,0.0,0.0,0.0,0.0,0
about,0,0.0008433789132781576,0.0,0.0,0.0,0.0,0.0,0.0,0
only,0,0.0008096437567470313,0.0,0.0,0.0,0.0,0.0,0.0,0
his,0,0.0007983987045699892,0.0,0.0,0.0,0.0007598784194528875,0.0,0.0,0
Happy,0,0.0007646635480388629,0.0,0.0002430527424451106,0.0005293806246691371,0.0,0.0,0.0,0
has,0,0.0007983987045699892,0.0,0.0,0.0,0.0,0.0,0.0,0
Terminal,0,3.3735156531126305e-05,0.004330213716999581,0.0002430527424451106,0.0,0.001519756838905775,0.0,0.0,0
need,0,0.0007871536523929471,0.0,0.0,0.0,0.0,0.0,0.0,0
5,0,0.0005959877653832314,0.0010476323508869954,0.00016203516163007373,0.0,0.0,0.0,0.0,0
Marina,0,2.24901043540842e-05,0.0006984215672579969,0.004050879040751843,0.0031762837480148226,0.0007598784194528875,0.0,0.0,0
So,0,0.0007534184958618208,6.98421567257997e-05,0.0,0.0,0.0,0.0,0.0,0
House,0,2.24901043540842e-05,0.004469898030451181,0.00016203516163007373,0.0,0.0,0.0,0.0,0
us,0,0.0007421734436847787,0.0,8.101758081503687e-05,0.0,0.0,0.0,0.0,0
why,0,0.0007534184958618208,0.0,0.0,0.0,0.0,0.0,0.0,0
or,0,0.0007534184958618208,0.0,0.0,0.0,0.0,0.0,0.0,0
One,0,0.00025863620007196835,0.0021651068584997903,0.0008101758081503687,0.0,0.001519756838905775,0.0,0.0,0
✨,0,0.0007196833393306944,0.0,0.0,0.0,0.0,0.0,0.0,0
#CareerArc,0,0.0007084382871536523,0.0,0.0,0.0005293806246691371,0.0,0.0,0.0,0
Orchard,0,0.0,0.0020254225450481913,0.0025115450052661426,0.0010587612493382743,0.001519756838905775,0.0,0.0,0
an,0,0.0007084382871536523,0.0,8.101758081503687e-05,0.0,0.0,0.0,0.0,0
after,0,0.0007084382871536523,0.0,0.0,0.0,0.0,0.001763668430335097,0.0,0
Hotel,0,2.24901043540842e-05,0.0037016343064673837,0.0002430527424451106,0.0,0.00303951367781155,0.0,0.004273504273504274,0
Masai,0,1.12450521770421e-05,0.0011873166643385949,0.003645791136676659,0.0,0.0,0.0,0.0,0
Tampines,0,0.0,0.0005587372538063976,0.004212914202381917,0.0005293806246691371,0.0007598784194528875,0.001763668430335097,0.0,0
4,0,0.0005622526088521051,0.0008381058807095963,0.0,0.0,0.0007598784194528875,0.0,0.0,0
Skudai,0,2.24901043540842e-05,0.0002793686269031988,0.004536984525642065,0.0,0.0,0.0,0.0,0
2016,0,0.00040482187837351567,0.0012571588210643944,0.0002430527424451106,0.0,0.003799392097264438,0.0,0.0,0
Bugis,0,1.12450521770421e-05,0.0001396843134515994,0.004455966944827028,0.0015881418740074113,0.0,0.0,0.0,0
her,0,0.0006747031306225261,0.0,0.0,0.0005293806246691371,0.0,0.0,0.0,0
best,0,0.000663458078445484,6.98421567257997e-05,0.0,0.0005293806246691371,0.0,0.0,0.0,0
again,0,0.0006859481827995682,0.0,0.0,0.0,0.0,0.0,0.0,0
|,0,0.0006184778697373156,0.00034921078362899847,0.0,0.0,0.0,0.0,0.0,0
You,0,0.0005847427132061893,0.00041905294035479815,0.0,0.0,0.001519756838905775,0.0,0.0,0
Woodlands,0,2.24901043540842e-05,0.00020952647017739908,0.00437494936401199,0.0005293806246691371,0.0,0.0,0.0,0
Road,0,0.00011245052177042101,0.003142897052660986,8.101758081503687e-05,0.0,0.00303951367781155,0.0,0.0,0
im,0,0.0006522130262684419,0.0,8.101758081503687e-05,0.0,0.0,0.0,0.0,0
come,0,0.0006522130262684419,6.98421567257997e-05,0.0,0.0,0.0,0.0,0.0,0
there,0,0.0006522130262684419,0.0,0.0,0.0,0.0,0.0,0.0,0
night,0,0.0006522130262684419,0.0,0.0,0.0,0.0,0.0,0.0,0
latest,0,0.0006409679740913998,0.0,0.0,0.0,0.0,0.0,0.0,0
birthday,0,0.0006297229219143577,0.0,0.0,0.0005293806246691371,0.0,0.0,0.0,0
some,0,0.0006297229219143577,0.0,0.0,0.0,0.0,0.0,0.0,0
last,0,0.0006184778697373156,0.0,8.101758081503687e-05,0.0,0.0,0.0,0.0,0
At,0,0.0005847427132061893,0.0001396843134515994,0.0,0.0,0.001519756838905775,0.0,0.0,0
https://t.co/g2ENlmzLsC,0,0.0006297229219143577,0.0,0.0,0.0,0.0,0.0,0.0,0
who,0,0.0006072328175602735,0.0,0.0,0.0,0.0007598784194528875,0.0,0.0,0
7,0,0.00030361640878013674,0.0013270009777901941,0.0004861054848902212,0.0,0.001519756838905775,0.0,0.004273504273504274,0
home,0,0.0005734976610291472,0.0,0.0002430527424451106,0.0,0.0,0.001763668430335097,0.0,0
always,0,0.0006184778697373156,0.0,0.0,0.0,0.0,0.0,0.0,0
its,0,0.0006072328175602735,0.0,0.0,0.0,0.0,0.0,0.0,0
Bedok,0,0.0,0.0007682637239837967,0.0033217208134165115,0.0,0.0,0.003527336860670194,0.0,0
Bar,0,3.3735156531126305e-05,0.0027936862690319877,0.00040508790407518434,0.0,0.004559270516717325,0.0,0.0,0
Sentosa,0,0.0,0.0013968431345159939,0.002430527424451106,0.0010587612493382743,0.0007598784194528875,0.0,0.0,0
+,0,0.00028112630442605254,0.0016762117614191926,0.0,0.0,0.00303951367781155,0.0,0.0,0
Pokemon,0,3.3735156531126305e-05,0.0,0.00283561532852629,0.0037056643726839597,0.0007598784194528875,0.012345679012345678,0.0,0
first,0,0.0005959877653832314,0.0,0.0,0.0,0.0,0.0,0.0,0
SG,0,0.00014618567830154732,0.0004888950970805978,0.0022684922628210323,0.0005293806246691371,0.001519756838905775,0.003527336860670194,0.0,0
miss,0,0.0005959877653832314,0.0,0.0,0.0,0.0,0.0,0.0,0
then,0,0.0005847427132061893,0.0,0.0,0.0,0.0,0.0,0.0,0
Causeway,0,4.49802087081684e-05,0.0016762117614191926,0.001782386777930811,0.0005293806246691371,0.0,0.0,0.004273504273504274,0
happy,0,0.0005847427132061893,0.0,0.0,0.0,0.0,0.0,0.0,0
am,0,0.0005734976610291472,6.98421567257997e-05,0.0,0.0,0.0,0.0,0.0,0
even,0,0.0005734976610291472,0.0,0.0,0.0,0.0,0.0,0.0,0
Go,0,0.00019116588700971574,0.0016063696046933929,8.101758081503687e-05,0.0,0.003799392097264438,0.0,0.021367521367521368,0
going,0,0.0005734976610291472,0.0,0.0,0.0,0.0,0.0,0.0,0
World,0,4.49802087081684e-05,0.0022349490152255903,0.0007291582273353318,0.0,0.004559270516717325,0.0,0.0,0
Sands,0,0.0,0.0030730548959351867,0.00016203516163007373,0.0005293806246691371,0.00303951367781155,0.0,0.0,0
than,0,0.0005622526088521051,0.0,0.0,0.0,0.0,0.0,0.0,0
Bukit,0,2.24901043540842e-05,0.00230479117195139,0.001215263712225553,0.0,0.0,0.0,0.0,0
#trndnl,0,0.0005622526088521051,0.0,0.0,0.0,0.0,0.0,0.0,0
their,0,0.0005622526088521051,0.0,0.0,0.0,0.0,0.0,0.0,0
take,0,0.0005622526088521051,0.0,0.0,0.0,0.0,0.0,0.0,0
But,0,0.0005622526088521051,0.0,0.0,0.0,0.0,0.0,0.0,0
See,0,0.0005397625044980209,6.98421567257997e-05,0.0,0.0,0.0007598784194528875,0.0,0.0,0
@sbs_transit,0,0.00041606693055055776,6.98421567257997e-05,0.0008911933889654055,0.0,0.0007598784194528875,0.0,0.0,0
life,0,0.000551007556675063,6.98421567257997e-05,0.0,0.0,0.0,0.0,0.0,0
Restaurant,0,2.24901043540842e-05,0.0030730548959351867,8.101758081503687e-05,0.0,0.001519756838905775,0.0,0.0,0
people,0,0.0005060273479668946,0.0,8.101758081503687e-05,0.0005293806246691371,0.0007598784194528875,0.001763668430335097,0.0,0
them,0,0.000551007556675063,0.0,0.0,0.0,0.0,0.0,0.0,0
Beach,0,0.0,0.0027936862690319877,0.0002430527424451106,0.0,0.004559270516717325,0.0,0.0,0
Street,0,0.00011245052177042101,0.002514317642128789,8.101758081503687e-05,0.0,0.0007598784194528875,0.0,0.004273504273504274,0
she,0,0.0005397625044980209,0.0,0.0,0.0,0.0,0.0,0.0,0
think,0,0.0005397625044980209,0.0,0.0,0.0,0.0,0.0,0.0,0
school,0,0.00032610651313422093,0.0001396843134515994,0.0007291582273353318,0.0010587612493382743,0.0007598784194528875,0.008818342151675485,0.0,0
off,0,0.0005397625044980209,0.0,0.0,0.0,0.0,0.0,0.0,0
If,0,0.0005060273479668946,0.0,0.00016203516163007373,0.0,0.0,0.0,0.0,0
And,0,0.00044980208708168405,0.0004888950970805978,0.0,0.0,0.0,0.0,0.0,0
Batam,0,2.24901043540842e-05,0.0017460539181449923,0.0013772988738556266,0.0010587612493382743,0.0007598784194528875,0.0,0.0,0
✌,0,0.0005285174523209788,0.0,0.0,0.0,0.0,0.0,0.0,0
still,0,0.0005285174523209788,0.0,0.0,0.0,0.0,0.0,0.0,0
Island,0,2.24901043540842e-05,0.0025841597988545888,8.101758081503687e-05,0.0,0.004559270516717325,0.0,0.0,0
Plaza,0,0.0,0.0027936862690319877,0.00032407032326014747,0.0,0.001519756838905775,0.0,0.0,0
way,0,0.0005060273479668946,6.98421567257997e-05,0.0,0.0,0.0,0.0,0.0,0
never,0,0.0005172724001439367,0.0,0.0,0.0,0.0,0.0,0.0,0
Ris,0,0.0,0.0030730548959351867,0.0,0.0,0.0007598784194528875,0.0,0.0,0
#singapore,0,0.00030361640878013674,0.0,0.0013772988738556266,0.0005293806246691371,0.0,0.0,0.0,0
Thank,0,0.0005060273479668946,0.0,0.0,0.0,0.0,0.0,0.0,0
next,0,0.0005060273479668946,0.0,0.0,0.0,0.0,0.0,0.0,0
can't,0,0.0005060273479668946,0.0,0.0,0.0,0.0,0.0,0.0,0
Coffee,0,2.24901043540842e-05,0.00230479117195139,0.00040508790407518434,0.0,0.003799392097264438,0.0,0.0,0
look,0,0.0004947822957898525,0.0,0.0,0.0,0.0,0.0,0.0,0
Hill,0,1.12450521770421e-05,0.0028635284257577873,8.101758081503687e-05,0.0,0.0,0.0,0.004273504273504274,0
Malaysia,0,0.0,0.0010476323508869954,0.0021064571011909583,0.0010587612493382743,0.0007598784194528875,0.0,0.0,0
Polytechnic,0,1.12450521770421e-05,0.0027936862690319877,0.0,0.0,0.001519756838905775,0.0,0.0,0
been,0,0.00048353724361281035,0.0,0.0,0.0,0.0,0.0,0.0,0
☺,0,0.00048353724361281035,0.0,0.0,0.0,0.0,0.0,0.0,0
opening,0,0.00047229219143576825,6.98421567257997e-05,0.0,0.0,0.0,0.0,0.0,0
#Job,0,0.00047229219143576825,0.0,0.0,0.0,0.0,0.0,0.0,0
made,0,0.00046104713925872615,0.0,8.101758081503687e-05,0.0,0.0,0.0,0.0,0
Garden,0,2.24901043540842e-05,0.0021651068584997903,0.0005671230657052581,0.0,0.001519756838905775,0.0,0.0,0
over,0,0.00047229219143576825,0.0,0.0,0.0,0.0,0.0,0.0,0
omg,0,0.00047229219143576825,0.0,0.0,0.0,0.0,0.0,0.0,0
well,0,0.00047229219143576825,0.0,0.0,0.0,0.0,0.0,0.0,0
soon,0,0.00047229219143576825,0.0,0.0,0.0,0.0,0.0,0.0,0
*,0,0.00047229219143576825,0.0,0.0,0.0,0.0,0.0,0.0,0
Allah,0,2.24901043540842e-05,0.0,0.001215263712225553,0.01270513499205929,0.0,0.001763668430335097,0.0,0
make,0,0.00046104713925872615,0.0,0.0,0.0,0.0,0.0,0.0,0
gonna,0,0.00046104713925872615,0.0,0.0,0.0,0.0,0.0,0.0,0
Larkin,0,0.0,6.98421567257997e-05,0.0032407032326014747,0.0,0.0,0.0,0.0,0
’,0,0.0003710867218423894,0.00034921078362899847,0.0,0.0,0.0007598784194528875,0.0,0.008547008547008548,0
pokemon,0,3.3735156531126305e-05,0.0,0.0020254395203759216,0.005293806246691371,0.0,0.005291005291005291,0.0,0
Want,0,0.00046104713925872615,0.0,0.0,0.0,0.0,0.0,0.0,0
before,0,0.00044980208708168405,0.0,0.0,0.0,0.0,0.0,0.0,0
Hougang,0,1.12450521770421e-05,0.0002793686269031988,0.0027545977477112533,0.0005293806246691371,0.0,0.0,0.0,0
~,0,0.00044980208708168405,0.0,0.0,0.0,0.0,0.0,0.0,0
you're,0,0.00043855703490464196,0.0,8.101758081503687e-05,0.0,0.0,0.0,0.0,0
should,0,0.00044980208708168405,0.0,0.0,0.0,0.0,0.0,0.0,0
guys,0,0.00044980208708168405,0.0,0.0,0.0,0.0,0.0,0.0,0
Village,0,0.0,0.0025841597988545888,8.101758081503687e-05,0.0,0.001519756838905775,0.0,0.0,0
wait,0,0.00043855703490464196,0.0,0.0,0.0,0.0,0.0,0.0,0
