,#START#,O,I-neutral,B-neutral,I-positive,B-positive,B-negative,I-negative,#STOP#
一个,0,0.0026772220223101836,0.0003151591553734636,0.00035075412136092597,0.0,0.0,0.0,0.0,0
很,0,0.0025620726880172724,0.0006303183107469272,0.0,0.0,0.0,0.0,0.0,0
啊,0,0.002259805685498381,0.001575795776867318,0.0,0.011244979919678716,0.0,0.0,0.0,0
-,0,0.0020726880172724,0.006933501418216199,0.0,0.007228915662650603,0.0,0.0,0.0,0
上,0,0.002461317020510975,0.0,0.0,0.0,0.0,0.0,0.0,0
看,0,0.0023893486865779055,0.0006303183107469272,0.0,0.0,0.0,0.0,0.0,0
中,0,0.0023749550197912916,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
喜欢,0,0.0023749550197912916,0.0,0.0,0.0,0.0,0.0,0.0,0
为,0,0.0023605613530046777,0.0,0.0,0.0,0.0009149130832570906,0.0,0.0,0
来,0,0.002216624685138539,0.0,0.0,0.0,0.0,0.004016064257028112,0.0,0
:,0,0.0021734436847786975,0.0003151591553734636,0.0,0.001606425702811245,0.0,0.0,0.0,0
—,0,0.0021878373515653114,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
月,0,0.0020295070169125584,0.001575795776867318,0.0,0.0008032128514056225,0.0,0.0,0.007936507936507936,0
还,0,0.002115869017632242,0.0,0.0,0.0,0.0,0.0,0.0,0
他,0,0.0020007196833393306,0.0003151591553734636,0.00035075412136092597,0.0,0.0,0.01606425702811245,0.0,0
",",0,0.0020151133501259445,0.0012606366214938543,0.0,0.0,0.0,0.0,0.0,0
让,0,0.001957538682979489,0.0003151591553734636,0.00035075412136092597,0.0,0.0,0.0,0.0,0
爱,0,0.0018855703490464196,0.0003151591553734636,0.00035075412136092597,0.0024096385542168677,0.0018298261665141812,0.0,0.0,0
将,0,0.001957538682979489,0.0,0.0,0.0,0.0,0.0,0.0,0
这,0,0.0019143576826196474,0.0,0.00035075412136092597,0.0,0.0,0.0,0.0,0
）,0,0.0017704210147535084,0.001575795776867318,0.0,0.001606425702811245,0.0,0.0,0.0,0
微博,0,0.000791651673263764,0.00441222817522849,0.015082427218519818,0.0008032128514056225,0.010978956999085087,0.01606425702811245,0.0,0
可以,0,0.0018567830154731918,0.0,0.0,0.0,0.0,0.0,0.0,0
被,0,0.0017992083483267362,0.0006303183107469272,0.0,0.0008032128514056225,0.0,0.0,0.0,0
能,0,0.0017848146815401223,0.0,0.0,0.0,0.0009149130832570906,0.0,0.0,0
~,0,0.0017128463476070528,0.0006303183107469272,0.0,0.0024096385542168677,0.0,0.0,0.0,0
自己,0,0.001583303346527528,0.0003151591553734636,0.0,0.0008032128514056225,0.0018298261665141812,0.040160642570281124,0.0,0
给,0,0.0017560273479668945,0.0,0.00035075412136092597,0.0,0.0,0.0,0.0,0
要,0,0.0017416336811802806,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
会,0,0.0017128463476070528,0.0,0.0,0.0,0.0,0.0,0.0,0
又,0,0.001698452680820439,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
与,0,0.0016552716804605974,0.0006303183107469272,0.0,0.001606425702811245,0.0,0.0,0.0,0
（,0,0.0015257286793810723,0.003151591553734636,0.0,0.001606425702811245,0.0,0.0,0.0,0
；,0,0.001698452680820439,0.0,0.0,0.0,0.0,0.0,0.0,0
到,0,0.0016552716804605974,0.0,0.0,0.0,0.0,0.0,0.0,0
啦,0,0.001568909679740914,0.001575795776867318,0.0,0.0,0.0,0.0,0.0,0
去,0,0.0015545160129543,0.0003151591553734636,0.0,0.0,0.0,0.0,0.007936507936507936,0
对,0,0.0015113350125944584,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
我们,0,0.0013386110111550918,0.0003151591553734636,0.00175377060680463,0.0008032128514056225,0.0018298261665141812,0.01606425702811245,0.0,0
说,0,0.0014825476790212306,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
(,0,0.0014393666786613889,0.0003151591553734636,0.0,0.0008032128514056225,0.0,0.0,0.0,0
一句,0,0.0009787693414897445,0.0006303183107469272,0.0014030164854437039,0.0008032128514056225,0.023787740164684355,0.0,0.0,0
),0,0.0014105793450881613,0.0003151591553734636,0.0,0.0008032128514056225,0.0,0.0,0.0,0
顶,0,0.0009643756747031307,0.001575795776867318,0.0,0.021686746987951807,0.0,0.0,0.0,0
没有,0,0.0013961856783015474,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
最,0,0.0013817920115149335,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
想,0,0.0013817920115149335,0.0,0.0,0.0,0.0,0.0,0.0,0
10,0,0.0013242173443684779,0.0003151591553734636,0.0,0.0,0.0,0.0,0.007936507936507936,0
着,0,0.0013242173443684779,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
就是,0,0.0013242173443684779,0.0,0.0,0.0,0.0,0.0,0.0,0
一起,0,0.0012522490104354084,0.0003151591553734636,0.0007015082427218519,0.0,0.0009149130832570906,0.0,0.0,0
一万句,0,0.0008492263404102195,0.001575795776867318,0.0,0.021686746987951807,0.0,0.0,0.0,0
3,0,0.0012090680100755667,0.0012606366214938543,0.0,0.001606425702811245,0.0,0.0,0.0,0
t,0,0.0012522490104354084,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
今天,0,0.0012666426772220223,0.0,0.0,0.0,0.0,0.0,0.0,0
多,0,0.0012378553436487945,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
>,0,0.0012522490104354084,0.0,0.0,0.0,0.0,0.0,0.0,0
日,0,0.0012378553436487945,0.0,0.0,0.0,0.0,0.0,0.0,0
http,0,0.0012378553436487945,0.0,0.0,0.0,0.0,0.0,0.0,0
已经,0,0.0012378553436487945,0.0,0.0,0.0,0.0,0.0,0.0,0
cn,0,0.0012378553436487945,0.0,0.0,0.0,0.0,0.0,0.0,0
等,0,0.0012090680100755667,0.0,0.0,0.0,0.0009149130832570906,0.0,0.0,0
1,0,0.0011370996761424974,0.0012606366214938543,0.00035075412136092597,0.0,0.0,0.0,0.0,0
什么,0,0.0011946743432889528,0.0,0.0,0.0,0.0,0.0,0.0,0
快,0,0.0011946743432889528,0.0,0.0,0.0,0.0,0.0,0.0,0
电影,0,0.001050737675422814,0.0003151591553734636,0.00035075412136092597,0.00642570281124498,0.0,0.0,0.0,0
大,0,0.0009068010075566751,0.002206114087614245,0.0014030164854437039,0.004819277108433735,0.0018298261665141812,0.0,0.0,0
这个,0,0.0011802806765023389,0.0,0.0,0.0,0.0,0.0,0.0,0
哦,0,0.0011658870097157252,0.0,0.0,0.0,0.0,0.0,0.0,0
榜,0,0.000647715005397625,0.010085092971950834,0.0,0.00321285140562249,0.0,0.0,0.0,0
分享,0,0.0011227060093558835,0.0,0.0,0.0008032128514056225,0.0,0.0,0.0,0
而,0,0.0011083123425692696,0.0,0.0,0.0,0.0,0.0,0.0,0
年,0,0.0010795250089960418,0.0006303183107469272,0.0,0.0,0.0,0.0,0.0,0
2,0,0.000921194674343289,0.002206114087614245,0.0,0.0024096385542168677,0.0,0.0,0.0,0
呢,0,0.0010363440086362,0.0006303183107469272,0.0,0.0,0.0,0.0,0.0,0
釜山,0,0.000647715005397625,0.0,0.005962820063135742,0.0,0.009149130832570906,0.0,0.0,0
️,0,0.0010363440086362,0.0,0.0,0.0,0.0,0.0,0.0,0
...,0,0.0010075566750629723,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
个,0,0.0010075566750629723,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
真的,0,0.0010075566750629723,0.0,0.0,0.0,0.0,0.0,0.0,0
吃,0,0.0010075566750629723,0.0,0.0,0.0,0.0,0.0,0.0,0
从,0,0.0009499820079165168,0.0003151591553734636,0.0007015082427218519,0.0,0.0,0.0,0.0,0
一,0,0.0008780136739834473,0.0009454774661203908,0.00035075412136092597,0.001606425702811245,0.0,0.0,0.0,0
太,0,0.0009643756747031307,0.0,0.0,0.0,0.0,0.0,0.0,0
用,0,0.0009643756747031307,0.0,0.0,0.0,0.0,0.0,0.0,0
正在,0,0.0009355883411299029,0.0,0.0,0.0,0.0,0.0,0.0,0
它,0,0.0008924073407700612,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0
做,0,0.000921194674343289,0.0,0.0,0.0,0.0,0.0,0.0,0
来自,0,0.0009068010075566751,0.0,0.0,0.0,0.0,0.0,0.0,0
把,0,0.0008636200071968334,0.0,0.00035075412136092597,0.0,0.0009149130832570906,0.0,0.0,0
不是,0,0.0008780136739834473,0.0,0.0,0.0,0.0,0.0,0.0,0
知道,0,0.0008492263404102195,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
行,0,0.0007196833393306944,0.001575795776867318,0.0,0.004016064257028112,0.0,0.0,0.0,0
如果,0,0.0008204390068369918,0.0,0.0007015082427218519,0.0,0.0,0.0,0.0,0
不要,0,0.0008348326736236057,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
「,0,0.0008348326736236057,0.0,0.0,0.0,0.0,0.004016064257028112,0.0,0
更,0,0.0008348326736236057,0.0,0.0,0.0,0.0,0.0,0.0,0
她,0,0.0007484706729039222,0.0006303183107469272,0.0,0.0,0.0,0.01606425702811245,0.0,0
现在,0,0.0008348326736236057,0.0,0.0,0.0,0.0,0.0,0.0,0
」,0,0.0008204390068369918,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0
可,0,0.0008204390068369918,0.0,0.0,0.0,0.0,0.0,0.0,0
加油,0,0.0008204390068369918,0.0,0.0,0.0,0.0,0.0,0.0,0
后,0,0.0008060453400503779,0.0,0.0,0.0,0.0,0.0,0.0,0
新,0,0.0007052896725440807,0.0006303183107469272,0.00175377060680463,0.0,0.0,0.0,0.0,0
出,0,0.0008060453400503779,0.0,0.0,0.0,0.0,0.0,0.0,0
还是,0,0.0008060453400503779,0.0,0.0,0.0,0.0,0.0,0.0,0
6,0,0.0005901403382511694,0.0040970690198550265,0.0,0.0,0.0009149130832570906,0.0,0.0,0
但,0,0.000791651673263764,0.0,0.0,0.0,0.0,0.0,0.0,0
没,0,0.000791651673263764,0.0,0.0,0.0,0.0,0.0,0.0,0
这么,0,0.0007628643396905361,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
吗,0,0.0007340770061173083,0.0009454774661203908,0.0,0.0,0.0,0.0,0.0,0
再,0,0.00077725800647715,0.0,0.0,0.0,0.0,0.0,0.0,0
明星,0,0.0004462036703850306,0.006303183107469272,0.0,0.001606425702811245,0.0,0.0,0.0,0
小,0,0.0004749910039582584,0.0,0.00526131182041389,0.0008032128514056225,0.0036596523330283625,0.0,0.0,0
时候,0,0.0007628643396905361,0.0,0.0,0.0,0.0,0.0,0.0,0
里,0,0.0007484706729039222,0.0,0.00035075412136092597,0.0,0.0,0.0,0.0,0
努力,0,0.0007484706729039222,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
红包,0,0.0007052896725440807,0.0006303183107469272,0.0,0.001606425702811245,0.0,0.0,0.0,0
偶滴,0,0.0004749910039582584,0.0012606366214938543,0.00035075412136092597,0.00321285140562249,0.009149130832570906,0.0,0.0,0
等级,0,0.0006908960057574667,0.0009454774661203908,0.0,0.0008032128514056225,0.0,0.0,0.0,0
歌神,0,0.0004749910039582584,0.001575795776867318,0.0,0.011244979919678716,0.0,0.0,0.0,0
～,0,0.0006908960057574667,0.0006303183107469272,0.0,0.0,0.0,0.0,0.0,0
4,0,0.0006908960057574667,0.0006303183107469272,0.0,0.0,0.0,0.0,0.0,0
生活,0,0.0006045340050377833,0.0025212732429877086,0.0,0.0,0.0,0.0,0.0,0
感觉,0,0.0007196833393306944,0.0,0.0,0.0,0.0,0.0,0.0,0
下,0,0.0006908960057574667,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
##,0,0.0005325656711047139,0.0,0.002104524728165556,0.0,0.0054894784995425435,0.0,0.0,0
赵丽颖,0,0.00020151133501259446,0.0018909549322407816,0.00350754121360926,0.004016064257028112,0.012808783165599268,0.0,0.0,0
唯一,0,0.0005901403382511694,0.0012606366214938543,0.0,0.00321285140562249,0.0,0.0,0.0,0
?,0,0.0005181720043181,0.003151591553734636,0.0,0.0024096385542168677,0.0,0.0,0.0,0
时,0,0.0006908960057574667,0.0,0.0,0.0,0.0,0.0,0.0,0
微笑,0,0.000647715005397625,0.0003151591553734636,0.0,0.001606425702811245,0.0,0.0,0.0,0
得,0,0.0006333213386110111,0.0009454774661203908,0.0,0.0,0.0,0.0,0.0,0
帮,0,0.0006621086721842389,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
音乐,0,0.00031666066930550557,0.007248660573589662,0.00035075412136092597,0.0008032128514056225,0.0,0.0,0.0,0
5,0,0.0006333213386110111,0.0009454774661203908,0.0,0.0,0.0,0.0,0.0,0
阴阳师,0,0.00031666066930550557,0.00441222817522849,0.0007015082427218519,0.00642570281124498,0.0,0.0,0.0,0
非常,0,0.0006621086721842389,0.0,0.0,0.0,0.0,0.0,0.0,0
世界,0,0.0005901403382511694,0.0006303183107469272,0.0,0.0008032128514056225,0.0,0.008032128514056224,0.0,0
心,0,0.0006333213386110111,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
以,0,0.000647715005397625,0.0,0.0,0.0,0.0,0.0,0.0,0
大家,0,0.000647715005397625,0.0,0.0,0.0,0.0,0.0,0.0,0
走,0,0.0006333213386110111,0.0,0.00035075412136092597,0.0,0.0,0.0,0.0,0
那,0,0.000647715005397625,0.0,0.0,0.0,0.0,0.0,0.0,0
手游,0,0.0004749910039582584,0.002206114087614245,0.0,0.004016064257028112,0.0,0.0,0.0,0
哒,0,0.0006333213386110111,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
一下,0,0.000647715005397625,0.0,0.0,0.0,0.0,0.0,0.0,0
觉得,0,0.000647715005397625,0.0,0.0,0.0,0.0,0.0,0.0,0
龙珠,0,0.00018711766822598056,0.003781909864481563,0.001052262364082778,0.004819277108433735,0.009149130832570906,0.0,0.0,0
开心,0,0.0006333213386110111,0.0,0.0,0.0,0.0,0.0,0.0,0
开始,0,0.0006189276718243972,0.0,0.0,0.0,0.0,0.0,0.0,0
时间,0,0.0006189276718243972,0.0,0.0,0.0,0.0,0.0,0.0,0
之,0,0.0005181720043181,0.0012606366214938543,0.0,0.001606425702811245,0.0,0.0,0.0,0
怎么,0,0.0006045340050377833,0.0,0.0,0.0,0.0,0.0,0.0,0
2016,0,0.0004605973371716445,0.0009454774661203908,0.002104524728165556,0.0008032128514056225,0.0,0.0,0.0,0
过,0,0.0005901403382511694,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
于,0,0.0005469593378913278,0.0,0.001052262364082778,0.0,0.0,0.0,0.0,0
但是,0,0.0005901403382511694,0.0,0.0,0.0,0.0,0.0,0.0,0
你们,0,0.0005757466714645556,0.0,0.0,0.0,0.0009149130832570906,0.0,0.0,0
这样,0,0.0005613530046779417,0.0,0.00035075412136092597,0.0,0.0,0.0,0.0,0
๏,0,0.0005757466714645556,0.0,0.0,0.0,0.0,0.0,0.0,0
笑,0,0.0005757466714645556,0.0,0.0,0.0,0.0,0.0,0.0,0
并,0,0.0005757466714645556,0.0,0.0,0.0,0.0,0.0,0.0,0
͡,0,0.0005757466714645556,0.0,0.0,0.0,0.0,0.0,0.0,0
谁,0,0.0005757466714645556,0.0,0.0,0.0,0.0,0.0,0.0,0
看到,0,0.0005613530046779417,0.0,0.0,0.0,0.0,0.0,0.0,0
听,0,0.0005613530046779417,0.0,0.0,0.0,0.0,0.0,0.0,0
棒棒,0,0.0005613530046779417,0.0,0.0,0.0,0.0,0.0,0.0,0
希望,0,0.0005613530046779417,0.0,0.0,0.0,0.0,0.0,0.0,0
地,0,0.0005469593378913278,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0
特别,0,0.0005469593378913278,0.0,0.0,0.0,0.0,0.0,0.0,0
由,0,0.0005469593378913278,0.0,0.0,0.0,0.0,0.0,0.0,0
中国,0,0.0003454480028787334,0.0006303183107469272,0.0028060329708874078,0.0,0.0018298261665141812,0.008032128514056224,0.0,0
那么,0,0.0005469593378913278,0.0,0.0,0.0,0.0,0.0,0.0,0
势力,0,0.00030226700251889167,0.004727387330601954,0.0,0.001606425702811245,0.0,0.0,0.0,0
唱,0,0.00041741633681180283,0.001575795776867318,0.0007015082427218519,0.0008032128514056225,0.0,0.0,0.0,0
会员,0,0.00033105433609211947,0.003151591553734636,0.0,0.00321285140562249,0.0,0.0,0.0,0
很多,0,0.0005325656711047139,0.0,0.0,0.0,0.0,0.0,0.0,0
游戏,0,0.0004318100035984167,0.0009454774661203908,0.00035075412136092597,0.001606425702811245,0.0,0.0,0.007936507936507936,0
一定,0,0.0005325656711047139,0.0,0.0,0.0,0.0,0.0,0.0,0
们,0,0.00040302267002518893,0.0009454774661203908,0.0,0.00321285140562249,0.0,0.0,0.015873015873015872,0
拍,0,0.00033105433609211947,0.0018909549322407816,0.002455278849526482,0.0008032128514056225,0.0,0.0,0.0,0
今生,0,0.0005325656711047139,0.0,0.0,0.0,0.0,0.0,0.0,0
直播,0,0.0004462036703850306,0.0009454774661203908,0.0,0.001606425702811245,0.0,0.0,0.007936507936507936,0
11,0,0.0005181720043181,0.0,0.0,0.0,0.0,0.0,0.0,0
执著,0,0.0005181720043181,0.0,0.0,0.0,0.0,0.0,0.0,0
朋友,0,0.000388629003238575,0.0,0.0014030164854437039,0.0008032128514056225,0.0,0.004016064257028112,0.015873015873015872,0
自,0,0.0005037783375314861,0.0,0.0,0.0,0.0,0.0,0.0,0
空气质量,0,0.0005037783375314861,0.0,0.0,0.0,0.0,0.0,0.0,0
8,0,0.0004462036703850306,0.0006303183107469272,0.00035075412136092597,0.0,0.0009149130832570906,0.0,0.0,0
参与,0,0.0005037783375314861,0.0,0.0,0.0,0.0,0.0,0.0,0
记忆,0,0.0004749910039582584,0.0006303183107469272,0.0,0.0,0.0,0.0,0.0,0
使用,0,0.0005037783375314861,0.0,0.0,0.0,0.0,0.0,0.0,0
所以,0,0.0004893846707448722,0.0,0.0,0.0,0.0,0.0,0.0,0
玩,0,0.0004893846707448722,0.0,0.0,0.0,0.0,0.0,0.0,0
提供,0,0.0004893846707448722,0.0,0.0,0.0,0.0,0.0,0.0,0
关注,0,0.0004893846707448722,0.0,0.0,0.0,0.0,0.0,0.0,0
起来,0,0.0004749910039582584,0.0,0.0,0.0,0.0,0.0,0.0,0
天,0,0.00040302267002518893,0.0009454774661203908,0.00035075412136092597,0.0008032128514056225,0.0,0.0,0.0,0
支持,0,0.0004749910039582584,0.0,0.0,0.0,0.0,0.0,0.0,0
买,0,0.0004749910039582584,0.0,0.0,0.0,0.0,0.0,0.0,0
!,0,0.0004605973371716445,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
专享,0,0.00041741633681180283,0.0009454774661203908,0.0,0.0008032128514056225,0.0,0.0,0.0,0
礼,0,0.0003742353364519611,0.0018909549322407816,0.0,0.0008032128514056225,0.0,0.0,0.0,0
这里,0,0.0004749910039582584,0.0,0.0,0.0,0.0,0.0,0.0,0
发现,0,0.0004605973371716445,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0
下载,0,0.0004605973371716445,0.0,0.0,0.0,0.0,0.0,0.0,0
像,0,0.0004605973371716445,0.0,0.0,0.0,0.0,0.0,0.0,0
才,0,0.0004605973371716445,0.0,0.0,0.0,0.0,0.0,0.0,0
喵,0,0.000388629003238575,0.0012606366214938543,0.0,0.0,0.0009149130832570906,0.0,0.0,0
却,0,0.0004605973371716445,0.0,0.0,0.0,0.0,0.0,0.0,0
7,0,0.00041741633681180283,0.0009454774661203908,0.0,0.0,0.0,0.0,0.0,0
号,0,0.00033105433609211947,0.0028364323983611725,0.0,0.0,0.0,0.0,0.0,0
还有,0,0.0004462036703850306,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
摊手,0,0.0004605973371716445,0.0,0.0,0.0,0.0,0.0,0.0,0
跟,0,0.00041741633681180283,0.0009454774661203908,0.0,0.0,0.0,0.0,0.0,0
幸福,0,0.0004462036703850306,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
不会,0,0.0004462036703850306,0.0,0.0,0.0,0.0,0.0,0.0,0
可能,0,0.0004462036703850306,0.0,0.0,0.0,0.0,0.0,0.0,0
宝宝,0,0.0002878733357322778,0.0012606366214938543,0.00175377060680463,0.001606425702811245,0.0,0.0,0.0,0
手机,0,0.00031666066930550557,0.0009454774661203908,0.00175377060680463,0.0008032128514056225,0.0,0.0,0.0,0
看看,0,0.0004462036703850306,0.0,0.0,0.0,0.0,0.0,0.0,0
色,0,0.0004462036703850306,0.0,0.0,0.0,0.0,0.0,0.0,0
A,0,0.0003454480028787334,0.0018909549322407816,0.0,0.0,0.0,0.004016064257028112,0.0,0
可爱,0,0.0003742353364519611,0.0003151591553734636,0.0007015082427218519,0.0008032128514056225,0.0,0.0,0.0,0
伤心,0,0.0004318100035984167,0.0,0.0,0.0,0.0,0.0,0.0,0
领取,0,0.0004318100035984167,0.0,0.0,0.0,0.0,0.0,0.0,0
进行,0,0.0004318100035984167,0.0,0.0,0.0,0.0,0.0,0.0,0
召唤,0,0.0004318100035984167,0.0,0.0,0.0,0.0,0.0,0.0,0
因为,0,0.00041741633681180283,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
12,0,0.000388629003238575,0.0006303183107469272,0.00035075412136092597,0.0,0.0,0.0,0.0,0
么,0,0.00040302267002518893,0.0006303183107469272,0.0,0.0,0.0,0.0,0.0,0
元,0,0.00040302267002518893,0.0,0.0,0.0008032128514056225,0.0,0.0,0.0,0
然后,0,0.00041741633681180283,0.0,0.0,0.0,0.0,0.0,0.0,0
比,0,0.00041741633681180283,0.0,0.0,0.0,0.0,0.0,0.0,0
只是,0,0.00041741633681180283,0.0,0.0,0.0,0.0,0.0,0.0,0
其,0,0.00041741633681180283,0.0,0.0,0.0,0.0,0.0,0.0,0
及,0,0.00041741633681180283,0.0,0.0,0.0,0.0,0.0,0.0,0
不错,0,0.00041741633681180283,0.0,0.0,0.0,0.0,0.0,0.0,0
一直,0,0.00041741633681180283,0.0,0.0,0.0,0.0,0.0,0.0,0
点,0,0.00040302267002518893,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
好看,0,0.00041741633681180283,0.0,0.0,0.0,0.0,0.0,0.0,0
+,0,0.000388629003238575,0.0,0.0,0.0008032128514056225,0.0,0.0,0.0,0
最后,0,0.00040302267002518893,0.0,0.0,0.0,0.0,0.0,0.0,0
一次,0,0.00040302267002518893,0.0,0.0,0.0,0.0,0.0,0.0,0
成功,0,0.000388629003238575,0.0003151591553734636,0.0,0.0,0.0,0.0,0.0,0
完,0,0.0003742353364519611,0.0003151591553734636,0.0,0.0008032128514056225,0.0,0.0,0.0,0
需要,0,0.00040302267002518893,0.0,0.0,0.0,0.0,0.0,0.0,0
泪,0,0.000388629003238575,0.0,0.0,0.0008032128514056225,0.0,0.0,0.0,0
全球,0,0.0002446923353724361,0.0018909549322407816,0.0,0.004016064257028112,0.0,0.0,0.0,0
圆梦,0,0.00011514933429291112,0.0,0.0,0.005622489959839358,0.011893870082342177,0.0,0.0,0
48,0,5.757466714645556e-05,0.0018909549322407816,0.0,0.013654618473895583,0.0,0.004016064257028112,0.0,0
一些,0,0.0003598416696653472,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0
9,0,0.0003742353364519611,0.0,0.00035075412136092597,0.0008032128514056225,0.0,0.0,0.0,0
·,0,0.00011514933429291112,0.006303183107469272,0.0,0.0,0.0,0.0,0.0,0
月亮,0,0.000388629003238575,0.0,0.0,0.0,0.0009149130832570906,0.0,0.0,0
推荐,0,0.00040302267002518893,0.0,0.0,0.0,0.0,0.0,0.0,0
不能,0,0.00040302267002518893,0.0,0.0,0.0,0.0,0.0,0.0,0
